ticket_id,created_at,channel,ticket_text,language,true_category,true_priority,text_norm_v1
TKT000056,2024-12-04T19:39:00.274Z,app,signal lost completely,en,Network / Connectivity,P4,signal lost completely
TKT000057,2025-01-01T13:42:39.702Z,email,نسيت الباسورد,ar,Account & Authentication,P4,نسيت الباسورد
TKT000058,2024-12-12T07:00:24.981Z,web,router lights blinking red,en,Device / Hardware,P4,router lights blinking red
TKT000059,2025-02-24T17:21:49.005Z,email,service سيء جدا unacceptable,ar,Complaints & Service Quality,P3,service سيء جدا unacceptable
TKT000060,2024-12-03T10:41:40.044Z,web,ما في انترنت خالص,ar,Network / Connectivity,P3,ما في انترنت خالص
TKT000061,2025-02-20T08:22:23.749Z,chat,want to cancel my plan!!,,Service Activation / Changes,P4,want to cancel my plan!!
TKT000062,2025-02-26T08:13:15.785Z,chat,الروامنج معطل,ar,Roaming & International Services,P4,الروامنج معطل
TKT000063,2025-01-16T06:12:25.019Z,email,البيانات الدولية مش فعالة,ar,Roaming & International Services,P4,البيانات الدولية مش فعالة
TKT000064,2024-12-06T09:04:33.091Z,call,sim registration مشكلة,en,Account & Authentication,P3,sim registration مشكلة
TKT000065,2025-01-28T12:47:39.813Z,web,account مقفل urgent,ar,Account & Authentication,P4,account مقفل urgent
TKT000066,2025-02-19T09:42:51.279Z,web,ينقطع طول الوقت,ar,Network / Connectivity,P4,ينقطع طول الوقت
TKT000067,2024-12-31T15:46:38.307Z,email,billing غلط محتاج refund,en,Billing & Payments,,billing غلط محتاج refund
TKT000068,2024-12-30T09:44:37.947Z,email,charged twice this month check it,en,Billing & Payments,P3,charged twice this month check it
TKT000069,2025-02-13T13:29:23.212Z,email,النت فاصل من yesterday,ar,Network / Connectivity,P4,النت فاصل من yesterday
TKT000070,2025-01-03T15:49:49.132Z,call,شحن مضاعف,ar,Billing & Payments,P4,شحن مضاعف
TKT000071,2025-01-16T09:54:14.286Z,app,invoice wrong pls fix,en,Billing & Payments,P3,invoice wrong pls fix
TKT000072,2025-02-17T11:51:56.706Z,call,speed بطيئة جدا,en,Network / Connectivity,P3,speed بطيئة جدا
TKT000073,2024-12-15T08:42:08.736Z,web,bill is incorrect,en,Billing & Payments,P3,bill is incorrect
TKT000074,2024-12-31T05:03:26.463Z,app,sim not detected???,en,Device / Hardware,P3,sim not detected???
TKT000075,2024-12-02T10:39:28.562Z,app,المكالمات الدولية مش شغالة,,Roaming & International Services,P4,المكالمات الدولية مش شغالة
TKT000076,2024-12-12T01:25:14.847Z,call,activation مش شغال,ar,Service Activation / Changes,P4,activation مش شغال
TKT000077,2025-01-24T11:05:29.880Z,chat,cant use phone overseas,en,Roaming & International Services,P4,cant use phone overseas
TKT000078,2025-01-12T06:13:42.582Z,call,ليش غالية كتير هالشهر؟,ar,Billing & Payments,P3,ليش غالية كتير هالشهر؟
TKT000079,2025-01-27T12:20:43.704Z,email,السرعة سيئة جدا,ar,Network / Connectivity,P3,السرعة سيئة جدا
TKT000080,2025-02-13T12:34:50.356Z,email,account مقفل urgent,ar,Account & Authentication,P4,account مقفل urgent
TKT000081,2024-12-16T17:22:04.422Z,app,ابغى اغير الباقة,ar,Service Activation / Changes,P4,ابغى اغير الباقة
TKT000082,2025-01-29T14:09:47.292Z,email,verification code not coming,en,Account & Authentication,P3,verification code not coming
TKT000083,2025-02-11T07:12:07.120Z,web,cant use phone overseas,en,Roaming & International Services,P4,cant use phone overseas
TKT000084,2025-01-03T13:28:17.914Z,email,ما في انترنت خالص,ar,Network / Connectivity,P3,ما في انترنت خالص
TKT000085,2025-02-13T20:22:00.092Z,chat,wifi not working pls fix urgent!!,en,Network / Connectivity,P2,wifi not working pls fix urgent!!
TKT000086,2025-02-26T09:26:47.987Z,email,downgrade request,en,Service Activation / Changes,,downgrade request
TKT000087,2024-12-01T17:43:13.716Z,,ROAMING PACKAGE NOT ACTIVATED,en,Roaming & International Services,P4,ROAMING PACKAGE NOT ACTIVATED
TKT000088,2024-12-31T09:38:57.851Z,app,roaming charges too high,en,Roaming & International Services,P4,roaming charges too high
TKT000089,2025-01-07T08:55:01.311Z,app,speed بطيئة جدا,ar,Network / Connectivity,P4,speed بطيئة جدا
TKT000090,2025-01-08T12:41:44.997Z,,charged for service i dont have,en,Billing & Payments,P3,charged for service i dont have
TKT000091,2024-12-23T14:51:46.860Z,chat,كود التفعيل ما وصل,ar,Account & Authentication,P3,كود التفعيل ما وصل
TKT000092,2024-12-11T12:19:41.155Z,web,الروامنج معطل,,Roaming & International Services,P4,الروامنج معطل
TKT000093,2025-02-14T14:03:26.147Z,email,wifi not working pls fix urgent,en,Network / Connectivity,P4,wifi not working pls fix urgent
TKT000094,2024-12-25T16:19:29.107Z,email,ما قدرت استخدم التلفون برا,ar,Roaming & International Services,P4,ما قدرت استخدم التلفون برا
TKT000095,2025-01-29T12:35:33.982Z,call,very slow speed cant watch anything,en,Network / Connectivity,P4,very slow speed cant watch anything
TKT000096,2025-02-18T12:49:38.072Z,email,billing غلط محتاج refund,ar,Billing & Payments,P4,billing غلط محتاج refund
TKT000097,2024-12-06T10:53:55.744Z,app,تسجيل الشريحة ما اشتغل,ar,Account & Authentication,P4,تسجيل الشريحة ما اشتغل
TKT000098,2025-02-28T13:01:37.953Z,app,الموقع معقد,ar,Other,P2,الموقع معقد
TKT000099,2024-12-23T18:10:51.568Z,chat,international calls not working,en,Roaming & International Services,P4,international calls not working
TKT000100,2025-01-21T12:48:02.133Z,email,roaming charges too high,en,Roaming & International Services,P4,roaming charges too high
TKT000101,2025-02-13T14:59:56.787Z,web,رسوم الروامنج غالية جدا,ar,Roaming & International Services,P4,رسوم الروامنج غالية جدا
TKT000102,2024-12-17T11:12:21.805Z,email,plan change issue,en,Service Activation / Changes,P3,plan change issue
TKT000103,2024-12-16T08:15:28.328Z,email,cant activate the service,en,Service Activation / Changes,P4,cant activate the service
TKT000104,2024-12-26T20:31:35.252Z,app,no internet connection at all,en,Network / Connectivity,P1,no internet connection at all
TKT000105,2024-12-24T16:25:02.096Z,call,internet not working since yesterday,en,Network / Connectivity,P3,internet not working since yesterday
TKT000106,2025-02-24T18:29:12.752Z,app,invoice wrong pls fix,en,Billing & Payments,P1,invoice wrong pls fix
TKT000107,2025-02-17T08:21:43.659Z,app,speed is terrible cant use,en,Network / Connectivity,P4,speed is terrible cant use
TKT000108,2024-12-30T08:36:37.318Z,app,sim registration problem,en,Account & Authentication,P2,sim registration problem
TKT000109,2025-02-28T07:35:40.618Z,app,الاتصال يقطع كل شوية,ar,Network / Connectivity,P4,الاتصال يقطع كل شوية
TKT000110,2025-01-15T12:54:18.538Z,app,no internet connection at all,en,Network / Connectivity,P4,no internet connection at all
TKT000111,2024-12-06T07:03:59.537Z,app,charged twice this month check it,en,Billing & Payments,P3,charged twice this month check it
TKT000112,2025-02-10T11:00:21.225Z,app,account مقفل urgent,ar,Account & Authentication,P3,account مقفل urgent
TKT000113,2024-12-17T18:36:26.421Z,web,modem keeps restarting,en,Device / Hardware,,modem keeps restarting
TKT000114,2025-02-18T14:22:42.286Z,web,حاسبوني مرتين هالشهر,ar,Billing & Payments,P4,حاسبوني مرتين هالشهر
TKT000115,2025-01-03T06:17:10.009Z,email,network down help,en,Network / Connectivity,P4,network down help
TKT000116,2025-01-20T14:07:35.631Z,chat,الاتصال يقطع كل شوية,ar,Network / Connectivity,P3,الاتصال يقطع كل شوية
TKT000117,2025-02-09T21:17:29.657Z,call,charged twice this month check it,en,Billing & Payments,,charged twice this month check it
TKT000118,2025-01-26T07:51:04.637Z,app,urgent,en,Other,P3,urgent
TKT000119,2025-01-10T10:20:09.506Z,app,billing غلط محتاج refund,en,Billing & Payments,P4,billing غلط محتاج refund
TKT000120,2025-02-20T16:50:28.264Z,call,speed بطيئة جدا,en,Network / Connectivity,P3,speed بطيئة جدا
TKT000121,2025-02-06T16:40:48.219Z,app,router lights blinking red,en,Device / Hardware,P1,router lights blinking red
TKT000122,2024-12-16T16:09:41.611Z,email,internet not working since morning,en,Network / Connectivity,P4,internet not working since morning
TKT000123,2024-12-04T14:39:05.750Z,chat,السرعة  سيئة  جدا,ar,Network / Connectivity,P2,السرعة  سيئة  جدا
TKT000124,2024-12-23T11:10:10.935Z,call,network down help,en,Network / Connectivity,P4,network down help
TKT000125,2025-01-30T10:55:06.945Z,web,network down help,en,Network / Connectivity,P3,network down help
TKT000126,2024-12-18T11:29:32.778Z,web,problm عندي urgent,en,Other,P4,problm عندي urgent
TKT000127,2024-12-15T13:12:35.246Z,web,cant login to my account,en,Account & Authentication,P3,cant login to my account
TKT000128,2024-12-14T06:57:11.264Z,app,speed بطيئة جدا,en,Network / Connectivity,P3,speed بطيئة جدا
TKT000129,2024-12-11T06:15:09.628Z,app,complained many times no solution,en,Complaints & Service Quality,,complained many times no solution
TKT000130,2024-12-27T06:09:52.741Z,app,wrong amount on bill,en,Billing & Payments,P3,wrong amount on bill
TKT000131,2024-12-13T14:33:59.928Z,web,international data not active!!,en,Roaming & International Services,P3,international data not active!!
TKT000132,2025-02-02T13:56:51.779Z,email,poor service very disappointed???,en,Complaints & Service Quality,P3,poor service very disappointed???
TKT000133,2025-02-26T10:50:08.121Z,app,no signal in my area,en,Network / Connectivity,P4,no signal in my area
TKT000134,2025-01-31T18:09:35.896Z,chat,ليش غالية كتير هالشهر؟,ar,Billing & Payments,P4,ليش غالية كتير هالشهر؟
TKT000135,2025-02-16T07:25:27.934Z,email,network down help,en,Network / Connectivity,P4,network down help
TKT000136,2025-01-21T07:23:19.441Z,app,internet not working since yesterday,en,Network / Connectivity,P4,internet not working since yesterday
TKT000137,2025-01-27T18:50:27.215Z,chat,الاشارة راحت تماما,ar,Network / Connectivity,P4,الاشارة راحت تماما
TKT000138,2025-02-12T14:09:55.355Z,call,double charge on my account,en,Billing & Payments,,double charge on my account
TKT000139,2025-02-04T11:16:33.542Z,chat,wifi not working pls fix urgent,en,Network / Connectivity,P4,wifi not working pls fix urgent
TKT000140,2024-12-02T12:45:07.649Z,app,downgrade request,en,Service Activation / Changes,,downgrade request
TKT000141,2024-12-23T10:21:26.344Z,email,device not connecting,en,Device / Hardware,P4,device not connecting
TKT000142,2025-01-27T19:36:46.035Z,app,network issue plus account locked,en,Other,P2,network issue plus account locked
TKT000143,2025-01-31T09:38:24.850Z,call,data roaming disabled help,en,Roaming & International Services,P1,data roaming disabled help
TKT000144,2024-12-30T08:19:10.529Z,web,not happy with support,,Complaints & Service Quality,P3,not happy with support
TKT000145,2024-12-03T18:19:22.460Z,app,التفعيل مش شغال,ar,Service Activation / Changes,P4,التفعيل مش شغال
TKT000146,2025-01-07T09:10:12.877Z,email,upgrade to new package pls,en,Service Activation / Changes,,upgrade to new package pls
TKT000147,2025-01-28T17:46:33.472Z,email,no signal in UAE,en,Roaming & International Services,P3,no signal in UAE
TKT000148,2024-12-05T18:52:50.829Z,web,connection keeps dropping every few minutes,,Network / Connectivity,P4,connection keeps dropping every few minutes
TKT000149,2025-02-20T15:46:31.756Z,web,poor service very disappointed,en,Complaints & Service Quality,P3,poor service very disappointed
TKT000150,2025-02-14T13:40:34.714Z,web,الغاء الاشتراك,ar,Service Activation / Changes,P2,الغاء الاشتراك
TKT000151,2024-12-12T17:20:06.258Z,app,زهقت من هالشي,ar,Complaints & Service Quality,P4,زهقت من هالشي
TKT000152,2025-02-24T07:27:21.628Z,call,internet not working since morning,en,Network / Connectivity,,internet not working since morning
TKT000153,2024-12-31T09:37:53.885Z,chat,شحن مضاعف,ar,Billing & Payments,,شحن مضاعف
TKT000154,2024-12-04T06:48:13.078Z,chat,internet not working since morning,en,Network / Connectivity,P4,internet not working since morning
TKT000155,2025-01-24T18:44:27.750Z,email,subscription cancellation,en,Service Activation / Changes,P4,subscription cancellation
TKT000156,2025-01-27T09:39:54.462Z,call,طلب تخفيض,ar,Service Activation / Changes,,طلب تخفيض
TKT000157,2025-01-22T14:55:12.812Z,call,wifi not working pls fix urgent,en,Network / Connectivity,P4,wifi not working pls fix urgent
TKT000158,2025-02-21T10:57:19.772Z,email,charged for service i dont have,en,Billing & Payments,P1,charged for service i dont have
TKT000159,2024-12-03T09:30:34.657Z,web,الفاتورة مش صحيحة,ar,Billing & Payments,P2,الفاتورة مش صحيحة
TKT000160,2025-01-25T14:30:10.296Z,email,connection يقطع كل دقيقة,en,Network / Connectivity,P4,connection يقطع كل دقيقة
TKT000161,2025-01-02T15:16:43.334Z,web,no internet connection at all,en,Network / Connectivity,P4,no internet connection at all
TKT000162,2024-12-04T08:13:32.589Z,call,الغاء الاشتراك,ar,Service Activation / Changes,P3,الغاء الاشتراك
TKT000163,2024-12-17T16:05:53.453Z,app,poor service very disappointed,en,Complaints & Service Quality,P3,poor service very disappointed
TKT000164,2025-02-03T08:15:28.424Z,app,router lights blinking red,en,Device / Hardware,P4,router lights blinking red
TKT000165,2025-02-06T03:57:50.424Z,email,no signal in my area,en,Network / Connectivity,P3,no signal in my area
TKT000166,2024-12-21T08:41:09.360Z,app,الرقم السري مقفل,ar,Account & Authentication,P4,الرقم السري مقفل
TKT000167,2024-12-02T13:37:09.212Z,email,bill is incorrect,en,Billing & Payments,P3,bill is incorrect
TKT000168,2025-01-29T08:42:28.031Z,chat,النت بطيء جدا مش قادر استخدمه!!,ar,Network / Connectivity,P2,النت بطيء جدا مش قادر استخدمه!!
TKT000169,2025-02-06T17:24:04.328Z,email,التفعيل مش شغال,ar,Service Activation / Changes,P4,التفعيل مش شغال
TKT000170,2024-12-12T14:17:47.571Z,email,ما في خدمة برا البلد,ar,Roaming & International Services,P3,ما في خدمة برا البلد
TKT000171,2024-12-04T12:05:38.136Z,call,speed بطيئة جدا,ar,Network / Connectivity,P4,speed بطيئة جدا
TKT000172,2025-01-07T09:42:39.427Z,app,تسجيل الشريحة ما اشتغل!!,ar,Account & Authentication,P3,تسجيل الشريحة ما اشتغل!!
TKT000173,2025-02-07T13:07:28.244Z,app,مشكلة في الراوتر???,ar,Device / Hardware,P3,مشكلة في الراوتر???
TKT000174,2025-02-18T09:36:36.908Z,chat,احتاج ترقية للباقة,ar,Service Activation / Changes,,احتاج ترقية للباقة
TKT000175,2025-01-30T10:04:17.363Z,email,ما حد ساعدني,ar,Complaints & Service Quality,P3,ما حد ساعدني
TKT000176,2025-01-02T06:18:52.496Z,chat,internet فاصل من الصبح,ar,Network / Connectivity,P2,internet فاصل من الصبح
TKT000177,2025-01-27T17:31:51.946Z,web,خصموا زيادة,ar,Billing & Payments,P4,خصموا زيادة
TKT000178,2025-02-17T16:51:37.130Z,email,الفاتورة غلط,ar,Billing & Payments,P1,الفاتورة غلط
TKT000179,2024-12-20T06:48:13.566Z,call,help pls,en,Other,P4,help pls
TKT000180,2025-02-26T05:44:42.399Z,chat,connection يقطع كل دقيقة,ar,Network / Connectivity,P4,connection يقطع كل دقيقة
TKT000181,2025-02-06T14:28:31.425Z,chat,no internet connection at all,en,Network / Connectivity,P3,no internet connection at all
TKT000182,2025-01-13T19:32:49.756Z,email,الخدمة الجديدة ما اتفعلت,ar,Service Activation / Changes,P2,الخدمة الجديدة ما اتفعلت
TKT000183,2025-01-21T07:37:35.368Z,call,زهقت من هالشي,ar,Complaints & Service Quality,P3,زهقت من هالشي
TKT000184,2025-02-17T16:27:47.554Z,email,cancel my subscription urgent,en,Service Activation / Changes,P4,cancel my subscription urgent
TKT000185,2025-02-20T11:43:29.047Z,chat,roaming مش شغال برا,,Roaming & International Services,P4,roaming مش شغال برا
TKT000186,2025-01-14T18:46:28.929Z,email,الفاتورة مش صحيحة,ar,Billing & Payments,P4,الفاتورة مش صحيحة
TKT000187,2024-12-04T15:10:46.391Z,app,activation not working,en,Service Activation / Changes,P1,activation not working
TKT000188,2025-02-20T01:16:11.373Z,web,login not working,en,Account & Authentication,,login not working
TKT000189,2024-12-26T13:43:25.261Z,email,need assistance,en,Other,P1,need assistance
TKT000190,2025-01-20T09:04:15.465Z,call,otp not received!!,en,Account & Authentication,P2,otp not received!!
TKT000191,2024-12-19T12:55:35.079Z,email,الروامنج معطل,ar,Roaming & International Services,P4,الروامنج معطل
TKT000192,2025-01-09T11:12:49.498Z,chat,wifi not working pls fix urgent,,Network / Connectivity,,wifi not working pls fix urgent
TKT000193,2024-12-17T12:01:27.501Z,chat,subscription cancellation,en,Service Activation / Changes,P3,subscription cancellation
TKT000194,2024-12-30T20:43:43.745Z,app,مساعدة,ar,Other,P3,مساعدة
TKT000195,2025-01-14T10:19:58.903Z,app,router not working???,en,Device / Hardware,,router not working???
TKT000196,2025-01-19T20:49:01.656Z,app,cant use phone overseas,,Roaming & International Services,P4,cant use phone overseas
TKT000197,2025-01-16T08:34:12.138Z,email,السرعة سيئة جدا,ar,Network / Connectivity,P1,السرعة سيئة جدا
TKT000198,2025-01-17T09:58:43.917Z,chat,نفس المشكلة كل مرة,ar,Complaints & Service Quality,,نفس المشكلة كل مرة
TKT000199,2025-02-27T20:41:00.555Z,web,رسوم الروامنج غالية جدا,ar,Roaming & International Services,P2,رسوم الروامنج غالية جدا
TKT000200,2024-12-12T09:59:11.129Z,chat,why so expensive this month??,en,Billing & Payments,P4,why so expensive this month??
TKT000201,2025-02-26T15:24:50.682Z,email,ليش غالية كتير هالشهر؟,ar,Billing & Payments,P4,ليش غالية كتير هالشهر؟
TKT000202,2025-01-02T11:53:23.642Z,web,no signal in UAE,en,Roaming & International Services,P4,no signal in UAE
TKT000203,2025-01-26T14:29:51.182Z,chat,need assistance,en,Other,P3,need assistance
TKT000204,2025-01-29T06:23:27.080Z,email,payment failed بس المبلغ راح,ar,Billing & Payments,P2,payment failed بس المبلغ راح
TKT000205,2024-12-15T07:03:58.791Z,chat,issue,en,Other,P3,issue
TKT000206,2025-01-28T07:22:56.983Z,chat,wifi not working pls fix urgent,en,Network / Connectivity,P4,wifi not working pls fix urgent
TKT000207,2025-02-19T08:38:17.739Z,email,charged  twice  this  month  check  it,en,Billing & Payments,P3,charged  twice  this  month  check  it
TKT000208,2025-01-29T11:53:36.314Z,call,upgrade  to  new  package  pls,en,Service Activation / Changes,P3,upgrade  to  new  package  pls
TKT000209,2024-12-25T18:41:03.424Z,chat,signal lost completely,en,Network / Connectivity,P4,signal lost completely
TKT000210,2024-12-06T08:56:21.499Z,email,ينقطع طول الوقت,ar,Network / Connectivity,P3,ينقطع طول الوقت
TKT000211,2024-12-12T11:15:41.897Z,web,الاشارة راحت تماما,ar,Network / Connectivity,P3,الاشارة راحت تماما
TKT000212,2025-02-28T06:53:10.741Z,chat,subscription cancellation,en,Service Activation / Changes,P2,subscription cancellation
TKT000213,2025-02-05T17:33:14.795Z,app,no signal in my area,en,Network / Connectivity,P4,no signal in my area
TKT000214,2025-02-28T17:40:24.430Z,,الفاتورة مش صحيحة,ar,Billing & Payments,P4,الفاتورة مش صحيحة
TKT000215,2024-12-22T07:42:59.714Z,web,no service abroad,en,Roaming & International Services,P4,no service abroad
TKT000216,2024-12-29T07:25:46.908Z,email,الشبكة معطلة,ar,Network / Connectivity,P3,الشبكة معطلة
TKT000217,2025-01-05T18:40:33.959Z,call,verification code not coming,en,Account & Authentication,P3,verification code not coming
TKT000218,2025-01-15T08:47:56.453Z,email,مساعدة,ar,Other,P4,مساعدة
TKT000219,2024-12-17T20:00:47.832Z,chat,help pls,en,Other,,help pls
TKT000220,2025-01-12T04:22:52.240Z,chat,activation not working,en,Service Activation / Changes,P1,activation not working
TKT000221,2024-12-16T13:56:12.246Z,app,no  signal  in  Egypt,en,Roaming & International Services,P4,no  signal  in  Egypt
TKT000222,2025-01-08T16:22:07.932Z,web,double charge on my account,en,Billing & Payments,P2,double charge on my account
TKT000223,2025-01-14T12:28:03.613Z,call,pin blocked help,en,Account & Authentication,P3,pin blocked help
TKT000224,2025-01-17T12:29:29.794Z,app,ما قدرت استخدم التلفون برا,ar,Roaming & International Services,P4,ما قدرت استخدم التلفون برا
TKT000225,2024-12-04T10:32:57.671Z,chat,الواي فاي مش شغال,ar,Network / Connectivity,P4,الواي فاي مش شغال
TKT000226,2025-01-05T07:56:45.053Z,app,sim not detected,en,Device / Hardware,P3,sim not detected
TKT000227,2025-01-31T11:07:02.273Z,app,quality ردية very bad,ar,Complaints & Service Quality,P3,quality ردية very bad
TKT000228,2025-02-20T20:17:08.124Z,chat,roaming charges too high,en,Roaming & International Services,P4,roaming charges too high
TKT000229,2025-01-06T16:48:43.327Z,web,نسيت الباسورد,ar,Account & Authentication,P3,نسيت الباسورد
TKT000230,2025-02-06T17:30:30.826Z,call,مشكلة في تغيير الباقة,ar,Service Activation / Changes,P4,مشكلة في تغيير الباقة
TKT000231,2024-12-17T06:49:43.695Z,email,حاسبوني على خدمة ما عندي,,Billing & Payments,P4,حاسبوني على خدمة ما عندي
TKT000232,2024-12-27T07:39:59.043Z,app,طلب تخفيض,ar,Service Activation / Changes,P2,طلب تخفيض
TKT000233,2025-01-30T22:42:01.655Z,,router not working,en,Device / Hardware,P2,router not working
TKT000234,2025-02-16T14:22:50.969Z,email,نسيت الباسورد,,Account & Authentication,P1,نسيت الباسورد
TKT000235,2024-12-17T15:57:52.183Z,call,speed بطيئة جدا,ar,Network / Connectivity,P4,speed بطيئة جدا
TKT000236,2025-02-26T10:48:51.119Z,app,problem عندي urgent,ar,Other,P4,problem عندي urgent
TKT000237,2024-12-04T08:10:40.907Z,app,downgrade request,en,Service Activation / Changes,P3,downgrade request
